outbreakId,eventId,animalCategory,startDate,endDate,totalCases,isCluster,longitude,latitude,active,totalOutbreaks,locationName,locationApprox,status,animalCategoryLabel,isClusterLabel,diseaseName,diseaseCategory,diseaseType,speciesDetails
187314,7401,wild,2026-04-01,2026-04-17,1.0,False,22.3262,59.81017,,1,Kemiönsaari,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus olor'}]
187315,7401,wild,2026-04-08,2026-04-20,1.0,False,24.61102,60.15464,,1,Kirkkonummi,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Larus argentatus'}]
187689,7401,wild,2026-04-09,2026-04-23,1.0,False,24.538176,60.90822,,1,Janakkala,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Bubo bubo'}]
189358,7401,wild,2026-05-07,2026-05-18,1.0,False,25.01911,60.44108,,1,Tuusula,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Branta leucopsis'}]
189989,7401,wild,2026-05-10,2026-05-26,1.0,False,25.64037,60.95367,,1,Lahti,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Branta leucopsis'}]
189990,7401,wild,2026-05-05,2026-05-26,1.0,False,25.03585,60.29354,,1,Vantaa,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Branta leucopsis'}]
190051,7401,wild,2026-05-17,2026-05-28,1.0,False,25.01319,60.168714,,1,Helsinki,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Branta leucopsis'}]
190052,7401,wild,2026-05-12,2026-05-28,1.0,False,24.9913,60.2393,,1,Helsinki,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Branta leucopsis'}]
190053,7401,wild,2026-04-30,2026-05-28,1.0,False,24.9928,60.18201,,1,Helsinki,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Branta leucopsis'}]
179586,7246,wild,2026-01-27,2026-01-30,1.0,False,19.485038,49.098369,,1,Liptovský Mikuláš,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus olor'}]
180672,7246,domestic,2026-02-10,,3.0,False,21.052259,48.930736,,1,Prešov,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
180673,7246,wild,2026-02-06,,26.0,False,16.9842,48.5984,,1,Senica,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus olor'}]
180776,7246,wild,2026-02-11,,1.0,False,18.525,48.284,,1,Levice,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus olor'}]
180778,7246,wild,2026-02-11,,1.0,False,18.524,48.269,,1,Levice,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus olor'}]
182941,7246,wild,2026-02-18,,5.0,False,17.201141,48.8386,,1,Skalica,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus olor'}]
182942,7246,wild,2026-02-23,,1.0,False,17.007402,48.695501,,1,Skalica,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Ardea alba'}]
178404,7213,wild,2026-01-12,2026-01-21,1.0,False,24.940063,60.180045,,1,Helsinki,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus olor'}]
178494,7213,wild,2026-01-16,2026-01-23,1.0,False,24.94158,60.17956,,1,Helsinki,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Branta canadensis'}]
178956,7213,wild,2026-01-19,2026-01-27,2.0,False,24.94158,60.17956,,1,Helsinki,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Branta canadensis'}]
179107,7213,wild,2026-01-19,2026-01-28,1.0,False,24.94158,60.17956,,1,Helsinki,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Branta canadensis'}]
178489,7220,wild,2026-01-23,2026-02-13,1.0,False,21.16533,44.0808,,1,Bagrdan,True,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus cygnus'}]
182980,7220,wild,2026-02-06,2026-03-25,1.0,False,20.446,44.874,,1,Borča,False,,,,H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus olor'}]
182984,7220,wild,2026-02-14,2026-03-25,1.0,False,20.1167,45.9353,,1,Čoka,False,,,,H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Falco cherrug'}]
182985,7220,wild,2026-02-14,2026-03-20,1.0,False,19.219754,45.008407,,1,Morović,False,,,,H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus olor'}]
190835,7220,wild,2026-03-02,2026-04-22,1.0,False,20.837514,45.333431,,1,Boka,False,,,,H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Falco cherrug'}]
187684,7503,wild,2026-04-03,2026-04-09,1.0,False,21.3174,40.5213,,1,Lake of Kastoria,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus cygnus'}]
190628,7612,wild,2026-06-03,,135.0,False,-88.7863,14.7004,,1,"El Higuito, Talgua, Lempira (Limítrofe a Copán)",True,,,,empty strain - H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Coragyps atratus'}]
191061,7633,wild,2026-05-29,2026-06-15,2.0,False,29.74329,62.59815,,1,Joensuu,False,,,,empty strain - H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Branta leucopsis'}]
183460,7358,domestic,2026-02-02,2026-03-08,,False,-78.0498,-7.6124,,1,"Pampa chica, Cajabamba, Cajamarca",False,,,,empty strain - H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
183932,7358,domestic,2026-03-09,,12.0,False,-78.579747,-8.97082,,1,"TAMBO REAL VIEJO, CHIMBOTE, SANTA, ANCASH",False,,,,empty strain - H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
184410,7358,domestic,2026-03-12,2026-04-23,47.0,False,-70.187671,-17.981503,,1,"Calana, Tacna",False,,,,empty strain - H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
184414,7358,domestic,2026-03-09,,335.0,False,-76.427916,-6.491116,,1,"Morales, San Martin, San Martin",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
184792,7358,domestic,2026-03-16,,13.0,False,-79.868991,-6.868031,,1,"MONSEFU, CHICLAYO, LAMBAYEQUE",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
185874,7358,domestic,2026-03-23,,27.0,False,-78.578217,-8.97945,,1,"Chimbote, Santa, Ancash",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
185980,7358,domestic,2026-03-31,,16.0,False,-78.577479,-8.970118,,1,"Chimbote, Santa, Ancash",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
187178,7358,domestic,2026-04-06,,71.0,False,-73.788757,-12.622682,,1,"AYNA, LA MAR, AYACUCHO",False,,,,empty strain - H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
187179,7358,domestic,2026-04-08,,,False,-77.515188,-9.526901,,1,"Ancash, Huaraz, Nueva Florida",False,,,,empty strain - H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
187318,7358,domestic,2026-04-10,,,False,-75.394047,-10.582464,,1,"La Esperanza, Oxapampa, Pasco",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
187319,7358,domestic,2026-04-11,,,False,-73.788818,-12.622763,,1,"AYNA, LA MAR, AYACUCHO",False,,,,empty strain - H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
187320,7358,domestic,2026-04-09,,,False,-78.182346,-7.272481,,1,"GREGORIO PITA, SAN MARCOS, CAJAMARCA",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
187429,7358,domestic,2026-04-14,,,False,-73.788776,-12.622803,,1,"AYNA, LA MAR, AYACUCHO",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
187430,7358,domestic,2026-04-11,,,False,-79.7685,-6.7663,,1,"POMALCA, CHICLAYO, LAMABYEQUE",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
188398,7358,domestic,2026-04-17,,,False,-78.52856,-7.155021,,1,"CAJAMARCA, CAJAMARCA, CAJAMARCA",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
188399,7358,domestic,2026-04-15,,,False,-79.59917,-6.78175,,1,"PUCALA, CHICLAYO, LAMBAYEQUE",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
188400,7358,domestic,2026-04-15,,,False,-78.457461,-7.165493,,1,"BAÑOS DEL INCA, CAJAMARCA, CAJAMARCA",False,,,,empty strain - H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
188401,7358,domestic,2026-04-20,,,False,-78.44559,-7.1501,,1,"BAÑOS DEL INCA, CAJAMARCA, CAJAMARCA",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
188402,7358,domestic,2026-04-20,,,False,-78.583854,-8.964016,,1,"CHIMBOTE, SANTA, ANCASH",False,,,,empty strain - H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
188403,7358,domestic,2026-04-22,,,False,-77.746513,-10.75098,,1,"BARRANCA, BARRANCA, LIMA",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
188404,7358,domestic,2026-04-22,,,False,-76.637318,-12.665865,,1,"MALA, CAÑETE, LIMA",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
188405,7358,domestic,2026-04-27,,,False,-75.255198,-10.736123,,1,"VILLA RICA, OXAPAMPA, PASCO",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
188406,7358,domestic,2026-04-28,,,False,-71.867917,-17.129352,,1,"DEAN VALDIVIA, ISLAY, AREQUIPA",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
189136,7358,domestic,2026-04-27,,,False,-75.346149,-10.763589,,1,"OXAPAMPA, OXAPAMPA, PASCO",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
189137,7358,domestic,2026-04-27,,,False,-75.272423,-10.740834,,1,"VILLA RICA, OXAPAMPA, PASCO",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
189138,7358,domestic,2026-04-28,,,False,-79.29391,-6.81302,,1,"OYOTUN, CHICLAYO, LAMBAYEQUE",False,,,,H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
186457,7440,domestic,2026-04-06,2026-05-15,2378.0,False,-0.37,53.35,,1,"Buslingthorpe, Lincolnshire",True,,,,empty strain - H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
187125,7440,domestic,2026-04-11,2026-05-20,300.0,False,-0.74,53.44,,1,"near Blyton, Lincolnshire",True,,,,H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
187127,7440,domestic,2026-04-09,2026-05-19,90.0,False,0.1,52.13,,1,"near Newton, Cambridge",True,,,,H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
187719,7440,domestic,2026-04-17,2026-05-20,15.0,False,-0.72,53.44,,1,"Near Blyton, Lincolnshire",True,,,,H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
181720,7291,wild,2026-02-09,2026-04-06,307.0,False,-56.9773,-36.9518,,1,MADARIAGA,False,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,"[{'spicieName': 'Chroicocephalus maculipennis'}, {'spicieName': 'Coscoroba coscoroba'}, {'spicieName': 'Cygnus melancoryphus'}, {'spicieName': 'Dendrocygna bicolor'}]"
182418,7291,wild,2026-02-19,2026-03-16,4.0,False,-58.3545,-34.6157,,1,CABA,False,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,[{'spicieName': 'Coscoroba coscoroba'}]
